service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20200526,20200824
10,0,0,0,0,1,0,0,20200526,20200824
13,1,1,1,1,1,0,0,20200526,20200824
14,0,0,0,0,0,1,0,20200526,20200824
15,1,1,1,1,1,0,0,20200526,20200824
19,0,0,1,0,0,0,0,20200526,20200824
20,0,0,0,0,0,0,1,20200526,20200824
21,0,0,0,0,0,0,1,20200526,20200824
23,1,0,0,0,0,0,0,20200526,20200824
25,0,0,0,1,0,0,0,20200526,20200824
28,1,1,1,1,1,0,0,20200526,20200824
29,1,1,1,1,1,0,0,20200526,20200824
32,1,1,1,1,1,0,0,20200526,20200824
33,0,0,0,0,0,1,1,20200526,20200824
34,0,1,0,0,0,0,0,20200526,20200824
35,0,0,0,1,0,0,0,20200526,20200824
36,0,0,0,0,1,0,0,20200526,20200824
38,1,1,1,1,0,0,0,20200526,20200824
39,0,1,1,1,1,0,0,20200526,20200824
40,1,1,1,0,1,0,0,20200526,20200824
41,1,0,1,1,1,0,0,20200526,20200824
42,1,1,0,1,1,0,0,20200526,20200824
46,1,0,1,1,1,0,0,20200526,20200824
53,1,1,1,0,0,0,0,20200526,20200824
60,1,1,1,1,0,0,0,20200526,20200824
61,1,0,1,0,1,0,0,20200526,20200824
62,0,1,0,1,0,0,0,20200526,20200824
71,1,0,0,0,0,0,0,20200526,20200824
72,0,1,0,0,0,0,0,20200526,20200824
73,0,0,1,0,0,0,0,20200526,20200824
80,1,0,0,0,1,0,0,20200526,20200824
88,0,0,0,0,0,0,1,20200526,20200824
127,0,0,0,0,0,1,0,20200526,20200824
128,0,0,0,0,0,0,1,20200526,20200824
134,1,0,0,0,0,0,0,20200526,20200824
143,1,1,1,1,0,0,0,20200526,20200824
180,1,1,1,1,1,0,0,20200526,20200824
183,0,0,0,0,0,1,1,20200526,20200824
184,0,0,0,0,0,0,1,20200526,20200824
192,1,0,0,0,0,0,0,20200526,20200824
202,1,0,1,0,0,0,0,20200526,20200824
203,0,0,0,0,0,0,0,20200526,20200824
204,0,0,0,0,0,0,0,20200526,20200824
205,0,0,0,0,0,0,0,20200526,20200824
206,0,0,0,0,0,0,0,20200526,20200824
207,0,0,0,0,0,0,0,20200526,20200824
208,0,0,0,0,0,0,0,20200526,20200824
209,0,0,0,0,0,0,0,20200526,20200824
210,0,0,0,0,0,0,0,20200526,20200824
211,0,0,0,0,0,0,0,20200526,20200824
212,0,0,0,0,0,0,0,20200526,20200824
213,0,0,0,0,0,0,0,20200526,20200824
215,0,0,0,0,0,0,0,20200526,20200824
216,0,0,0,0,0,0,0,20200526,20200824
217,0,0,0,0,0,0,0,20200526,20200824
218,0,0,0,0,0,0,0,20200526,20200824
219,0,0,0,0,0,0,0,20200526,20200824
220,0,0,0,0,0,0,0,20200526,20200824
221,0,0,0,0,0,0,0,20200526,20200824
223,0,0,0,0,0,0,0,20200526,20200824
224,0,0,0,0,0,0,0,20200526,20200824
225,0,0,0,0,0,0,0,20200526,20200824
226,0,0,0,0,0,0,0,20200526,20200824
227,0,0,0,0,0,0,0,20200526,20200824
228,0,0,0,0,0,0,0,20200526,20200824
229,0,0,0,0,0,0,0,20200526,20200824
230,0,0,0,0,0,0,0,20200526,20200824
231,0,0,0,0,0,0,0,20200526,20200824
232,0,0,0,0,0,0,0,20200526,20200824
233,0,0,0,0,0,0,0,20200526,20200824
234,0,0,0,0,0,0,0,20200526,20200824
237,0,0,0,0,0,0,0,20200526,20200824
238,0,0,0,0,0,0,0,20200526,20200824
239,0,0,0,0,0,0,0,20200526,20200824
240,0,0,0,0,0,0,0,20200526,20200824
241,0,0,0,0,0,0,0,20200526,20200824
242,0,0,0,0,0,0,0,20200526,20200824
243,0,0,0,0,0,0,0,20200526,20200824
244,0,0,0,0,0,0,0,20200526,20200824
245,0,0,0,0,0,0,0,20200526,20200824
246,0,0,0,0,0,0,0,20200526,20200824
247,0,0,0,0,0,0,0,20200526,20200824
248,0,0,0,0,0,0,0,20200526,20200824
249,0,0,0,0,0,0,0,20200526,20200824
250,0,0,0,0,0,0,0,20200526,20200824
252,1,1,1,1,1,0,0,20200526,20200824
254,0,0,0,0,0,0,0,20200526,20200824
255,0,0,0,0,0,0,0,20200526,20200824
256,0,0,0,0,0,0,0,20200526,20200824
257,0,0,0,0,0,0,0,20200526,20200824
262,0,0,0,0,0,0,0,20200526,20200824
263,0,0,0,0,0,0,0,20200526,20200824
264,0,0,0,0,0,0,0,20200526,20200824
265,0,0,0,0,0,0,0,20200526,20200824
266,0,0,0,0,0,0,0,20200526,20200824
267,0,0,0,0,0,0,0,20200526,20200824
268,0,0,0,0,0,0,0,20200526,20200824
269,0,0,0,0,0,0,0,20200526,20200824
271,0,0,0,0,0,0,0,20200526,20200824
272,0,0,0,0,0,0,0,20200526,20200824
285,0,0,0,0,0,0,0,20200526,20200824
286,0,0,0,0,0,0,0,20200526,20200824
287,0,0,0,0,0,0,0,20200526,20200824
288,0,0,0,0,0,0,0,20200526,20200824
336,0,0,0,0,0,0,0,20200526,20200824
337,0,0,0,0,0,0,0,20200526,20200824
338,0,0,0,0,0,0,0,20200526,20200824
339,0,0,0,0,0,0,0,20200526,20200824
340,0,0,0,0,0,0,0,20200526,20200824
341,0,0,0,0,0,0,0,20200526,20200824
342,0,0,0,0,0,0,0,20200526,20200824
343,0,0,0,0,0,0,0,20200526,20200824
344,0,0,0,0,0,0,0,20200526,20200824
345,0,0,0,0,0,0,0,20200526,20200824
346,0,0,0,0,0,0,0,20200526,20200824
347,0,0,0,0,0,0,0,20200526,20200824
348,0,0,0,0,0,0,0,20200526,20200824
349,0,0,0,0,0,0,0,20200526,20200824
350,0,0,0,0,0,0,0,20200526,20200824
351,0,0,0,0,0,0,0,20200526,20200824
352,1,1,1,1,1,0,0,20200526,20200824
353,1,1,1,1,1,0,0,20200526,20200824
354,0,0,0,0,0,1,0,20200526,20200824
357,1,1,1,1,1,0,0,20200526,20200824
358,1,1,1,1,1,0,0,20200526,20200824
359,1,1,1,1,1,0,0,20200526,20200824
360,1,1,1,1,1,0,0,20200526,20200824
361,1,1,1,1,1,0,0,20200526,20200824
362,1,1,1,1,1,0,0,20200526,20200824
369,0,0,0,0,0,1,0,20200526,20200824
370,0,0,0,0,0,1,0,20200526,20200824
371,0,0,0,0,0,1,0,20200526,20200824
372,0,0,0,0,0,1,0,20200526,20200824
373,0,0,0,0,0,1,0,20200526,20200824
374,0,0,0,0,0,1,0,20200526,20200824
375,0,0,0,0,0,0,1,20200526,20200824
376,0,0,0,0,0,0,1,20200526,20200824
377,0,0,0,0,0,0,1,20200526,20200824
378,0,0,0,0,0,0,1,20200526,20200824
379,0,0,0,0,0,0,1,20200526,20200824
380,0,0,0,0,0,0,1,20200526,20200824
394,0,0,0,0,0,0,0,20200526,20200824
395,0,0,0,0,0,0,0,20200526,20200824
396,0,0,0,0,0,0,0,20200526,20200824
397,0,0,0,0,0,0,0,20200526,20200824
413,0,0,0,0,0,0,0,20200526,20200824
414,1,0,1,0,1,0,0,20200526,20200824
415,0,0,0,0,0,0,0,20200526,20200824
421,1,1,1,1,1,0,0,20200526,20200824
437,0,0,0,0,0,0,1,20200526,20200824
444,0,1,0,1,0,0,0,20200526,20200824
449,0,0,0,0,0,1,0,20200526,20200824
450,0,0,0,0,0,1,0,20200526,20200824
451,0,0,0,0,0,1,0,20200526,20200824
453,0,0,0,0,0,1,0,20200526,20200824
454,0,0,0,0,0,1,0,20200526,20200824
455,0,0,0,0,0,1,0,20200526,20200824
456,0,0,0,0,0,1,0,20200526,20200824
471,0,1,1,1,0,0,0,20200526,20200824
472,1,1,1,1,1,0,0,20200526,20200824
473,1,1,1,1,1,0,0,20200526,20200824
474,1,1,1,1,1,0,0,20200526,20200824
475,0,0,0,1,0,0,0,20200526,20200824
476,0,0,0,0,1,0,0,20200526,20200824
477,0,0,0,0,0,1,0,20200526,20200824
478,1,1,1,1,1,0,0,20200526,20200824
479,0,0,0,0,0,1,0,20200526,20200824
480,0,0,0,0,1,0,0,20200526,20200824
482,0,0,0,0,0,1,0,20200526,20200824
483,1,0,0,0,1,0,0,20200526,20200824
484,0,1,0,1,0,0,0,20200526,20200824
485,1,1,1,1,1,0,0,20200526,20200824
486,0,0,1,0,0,0,0,20200526,20200824
487,0,0,0,0,0,0,1,20200526,20200824
488,1,1,1,1,1,0,0,20200526,20200824
492,0,0,0,1,0,0,0,20200526,20200824
493,1,1,1,1,1,0,0,20200526,20200824
494,1,1,1,1,1,0,0,20200526,20200824
497,0,0,0,0,0,1,0,20200526,20200824
499,0,0,1,0,0,0,0,20200526,20200824
500,0,1,0,0,0,0,0,20200526,20200824
501,1,1,1,0,1,0,0,20200526,20200824
502,1,1,0,1,1,0,0,20200526,20200824
503,1,0,1,1,1,0,0,20200526,20200824
504,1,1,1,0,1,0,0,20200526,20200824
505,0,0,0,0,0,1,0,20200526,20200824
S71178_482,0,0,0,0,0,1,0,20200526,20200530
S71178_487,0,0,0,0,0,0,1,20200526,20200530
S71178_488,1,1,1,1,1,0,0,20200526,20200530
S73560_482,0,0,0,0,0,1,0,20200531,20200824
S73560_487,0,0,0,0,0,0,1,20200531,20200824
S73560_488,1,1,1,1,1,0,0,20200531,20200824
S71408_485,1,1,1,1,1,0,0,20200526,20200530
S71408_488,1,1,1,1,1,0,0,20200526,20200530
S73561_485,1,1,1,1,1,0,0,20200531,20200824
S73561_488,1,1,1,1,1,0,0,20200531,20200824
S71188_482,0,0,0,0,0,1,0,20200526,20200530
S71188_487,0,0,0,0,0,0,1,20200526,20200530
S71188_488,1,1,1,1,1,0,0,20200526,20200530
S73562_482,0,0,0,0,0,1,0,20200531,20200824
S73562_487,0,0,0,0,0,0,1,20200531,20200824
S73562_488,1,1,1,1,1,0,0,20200531,20200824
S71199_481,1,1,1,1,1,0,0,20200526,20200530
S71199_488,1,1,1,1,1,0,0,20200526,20200530
S73563_481,1,1,1,1,1,0,0,20200531,20200824
S73563_488,1,1,1,1,1,0,0,20200531,20200824
S62830_473,1,1,1,1,1,0,0,20200526,20200530
S73681_473,1,1,1,1,1,0,0,20200531,20200824
S62831_473,1,1,1,1,1,0,0,20200526,20200530
S73682_473,1,1,1,1,1,0,0,20200531,20200824
S69272_32,1,1,1,1,1,0,0,20200526,20200530
S69272_14,0,0,0,0,0,1,0,20200526,20200530
S69272_21,0,0,0,0,0,0,1,20200526,20200530
S73688_32,1,1,1,1,1,0,0,20200531,20200824
S73688_14,0,0,0,0,0,1,0,20200531,20200824
S73688_21,0,0,0,0,0,0,1,20200531,20200824
S69273_15,1,1,1,1,1,0,0,20200526,20200530
S73689_15,1,1,1,1,1,0,0,20200531,20200824
S69274_32,1,1,1,1,1,0,0,20200526,20200530
S69274_14,0,0,0,0,0,1,0,20200526,20200530
S69274_21,0,0,0,0,0,0,1,20200526,20200530
S73690_32,1,1,1,1,1,0,0,20200531,20200824
S73690_14,0,0,0,0,0,1,0,20200531,20200824
S73690_21,0,0,0,0,0,0,1,20200531,20200824
S73913_433,0,0,0,0,0,1,0,20200531,20200824
S73913_434,0,0,0,0,0,1,0,20200531,20200824
S73315_433,0,0,0,0,0,1,0,20200526,20200530
S73315_434,0,0,0,0,0,1,0,20200526,20200530
S73314_433,0,0,0,0,0,1,0,20200526,20200530
S73314_434,0,0,0,0,0,1,0,20200526,20200530
S73882_433,0,0,0,0,0,1,0,20200531,20200824
S73882_434,0,0,0,0,0,1,0,20200531,20200824
S73883_433,0,0,0,0,0,1,0,20200531,20200824
S73883_434,0,0,0,0,0,1,0,20200531,20200824
S73617_457,0,0,0,0,0,1,0,20200531,20200824
S73617_459,0,0,0,0,0,1,0,20200531,20200824
S73617_428,0,0,0,0,0,1,0,20200531,20200824
S73618_457,0,0,0,0,0,1,0,20200531,20200824
S73618_459,0,0,0,0,0,1,0,20200531,20200824
S73618_428,0,0,0,0,0,1,0,20200531,20200824
S73619_457,0,0,0,0,0,1,0,20200531,20200824
S73619_459,0,0,0,0,0,1,0,20200531,20200824
S73619_428,0,0,0,0,0,1,0,20200531,20200824
S73615_451,0,0,0,0,0,1,0,20200526,20200530
S73886_451,0,0,0,0,0,1,0,20200531,20200824
S71281_459,0,0,0,0,0,1,0,20200526,20200530
S71281_428,0,0,0,0,0,1,0,20200526,20200530
S71282_459,0,0,0,0,0,1,0,20200526,20200530
S71282_428,0,0,0,0,0,1,0,20200526,20200530
S71283_459,0,0,0,0,0,1,0,20200526,20200530
S71283_428,0,0,0,0,0,1,0,20200526,20200530
S71284_459,0,0,0,0,0,1,0,20200526,20200530
S71284_428,0,0,0,0,0,1,0,20200526,20200530
S71294_459,0,0,0,0,0,1,0,20200526,20200530
S71294_428,0,0,0,0,0,1,0,20200526,20200530
S71285_459,0,0,0,0,0,1,0,20200526,20200530
S71285_428,0,0,0,0,0,1,0,20200526,20200530
S71286_428,0,0,0,0,0,1,0,20200526,20200530
S71286_459,0,0,0,0,0,1,0,20200526,20200530
T2340042,1,1,1,1,1,0,0,20200526,20200824
T2340043,1,1,1,1,1,0,0,20200526,20200824
T2340184,0,0,0,0,0,0,1,20200526,20200824
T2340185,0,0,0,0,0,0,1,20200526,20200824
T2340186,0,0,0,0,0,0,1,20200526,20200824
T2340187,0,0,0,0,0,0,1,20200526,20200824
T2340188,0,0,0,0,0,0,1,20200526,20200824
T2340189,0,0,0,0,0,0,1,20200526,20200824
T2340201,1,1,1,1,1,0,0,20200526,20200824
T2340202,1,1,1,1,1,0,0,20200526,20200824
T2340203,1,1,1,1,1,0,0,20200526,20200824
T2340204,1,1,1,1,1,0,0,20200526,20200824
T2340350,0,0,0,0,0,0,1,20200526,20200824
T2340351,0,0,0,0,0,0,1,20200526,20200824
T2340352,0,0,0,0,0,0,1,20200526,20200824
T2340353,0,0,0,0,0,0,1,20200526,20200824
T2340400,1,1,1,1,1,0,0,20200526,20200824
T2340832,1,1,1,1,1,0,0,20200526,20200824
T2340833,1,1,1,1,1,0,0,20200526,20200824
T2340834,1,1,1,1,1,0,0,20200526,20200824
T2340835,1,1,1,1,1,0,0,20200526,20200824
T2340836,1,1,1,1,1,0,0,20200526,20200824
T2340842,1,1,1,1,1,0,0,20200526,20200824
T2340843,1,1,1,1,1,0,0,20200526,20200824
T2340844,1,1,1,1,1,0,0,20200526,20200824
T2340845,1,1,1,1,1,0,0,20200526,20200824
T2340846,1,1,1,1,1,0,0,20200526,20200824
T2340847,1,1,1,1,1,0,0,20200526,20200824
T2341142,1,1,1,1,1,0,0,20200526,20200824
T2341143,1,1,1,1,1,0,0,20200526,20200824
T2341144,1,1,1,1,1,0,0,20200526,20200824
T2341145,1,1,1,1,1,0,0,20200526,20200824
T2341146,1,1,1,1,1,0,0,20200526,20200824
T2341147,1,1,1,1,1,0,0,20200526,20200824
